Order Date,Order Price,Company ID,Category,Employee Name
2021-12-30,38179.77,8,Machines,Alex Smith
2021-08-17,48227.75,13,Software,Jordan Doe
2024-02-14,42592.59,14,Machines,Morgan Smith
2024-01-18,11249.19,5,Sensors,John Lee
2022-02-19,46631.06,15,Sensors,Jordan Brown
2022-02-22,32902.67,15,Sensors,Taylor Williams
2023-02-13,10730.88,5,Tools,Alex Davis
2024-01-11,39905.01,15,Hardware,Casey Brown
2023-01-27,27088.94,2,Tools,John Rodriguez
2022-08-11,42305.8,15,Machines,Morgan Davis
2022-11-21,31126.59,13,Sensors,John Martinez
2022-07-24,10459.13,4,Software,John Doe
2020-08-22,45522.6,15,Tools,Drew Johnson
2021-07-20,17677.46,10,Machines,Pat Lee
2020-02-11,30914.86,11,Hardware,Morgan Martinez
2023-10-08,36554.46,5,Machines,Casey Smith
2022-12-12,21872.87,11,Sensors,Chris Doe
2020-03-18,13351.02,8,Machines,Pat Rodriguez
2021-05-19,21584.02,9,Hardware,Casey Davis
2022-01-21,38388.26,3,Hardware,Jordan Doe
2023-05-29,30964.77,13,Machines,Jordan Rodriguez
2023-06-16,27864.01,14,Sensors,Taylor Johnson
2021-08-22,41404.92,9,Software,John Martinez
2021-04-24,46880.03,12,Machines,Alex Smith
2022-12-12,44485.7,5,Sensors,Drew Johnson
2021-05-26,15080.35,3,Tools,Morgan Johnson
2021-11-30,47023.29,13,Sensors,Taylor Lee
2023-07-14,14721.79,4,Sensors,Chris Brown
2022-12-15,43468.29,7,Tools,Taylor Garcia
2024-02-10,7626.54,4,Tools,Morgan Martinez
2023-04-03,3252.46,14,Sensors,Pat Williams
2022-10-14,6962.32,9,Sensors,Alex Garcia
2021-06-26,12138.94,9,Tools,John Williams
2022-09-10,37756.65,8,Hardware,Jane Smith
2023-05-30,2132.15,7,Software,Taylor Smith
2024-04-14,12154.28,10,Hardware,Casey Doe
2023-04-19,40616.87,2,Hardware,Taylor Davis
2022-10-16,23062.02,6,Sensors,John Rodriguez
2023-08-20,4495.04,12,Hardware,Casey Garcia
2022-12-27,41805.97,9,Tools,Jane Martinez
2021-08-31,34926.64,3,Hardware,Morgan Davis
2023-04-15,32132.5,10,Sensors,John Johnson
2020-05-31,17730.24,9,Hardware,Casey Doe
2021-08-19,49527.95,9,Sensors,Pat Brown
2023-04-27,41656.73,5,Software,Alex Davis
2021-01-11,30912.9,2,Machines,Jane Brown
2023-09-28,24318.68,4,Software,Taylor Rodriguez
2022-08-03,10262.26,11,Sensors,Jane Smith
2023-01-21,24000.71,10,Hardware,Drew Lee
2021-09-03,8410.66,9,Machines,Pat Garcia
2021-09-07,10692.27,1,Tools,Jane Rodriguez
2022-08-01,18347.73,4,Sensors,Drew Brown
2020-04-23,3214.19,12,Tools,Casey Davis
2024-04-01,29459.8,10,Hardware,Pat Brown
2023-06-13,28147.38,15,Hardware,Pat Lee
2022-04-17,37072.4,15,Tools,Jane Martinez
2021-04-20,37939.17,8,Software,Jane Brown
2022-02-14,25103.42,14,Sensors,Drew Rodriguez
2022-05-31,46791.94,2,Tools,Taylor Davis
2020-10-31,4533.27,9,Hardware,Casey Rodriguez
2023-09-18,46658.21,15,Software,Casey Martinez
2021-11-25,46686.22,5,Tools,Jane Martinez
2023-08-09,10011.17,13,Hardware,Pat Martinez
2022-12-04,36012.95,10,Tools,Alex Williams
2020-03-30,6673.6,9,Hardware,Jordan Garcia
2022-10-20,21716.14,14,Software,Casey Smith
2023-05-17,46285.74,9,Tools,Casey Smith
2022-05-12,36136.03,3,Sensors,Alex Johnson
2024-08-16,29824.45,14,Hardware,John Brown
2021-10-25,29492.69,13,Sensors,Pat Smith
2022-06-21,39831.28,4,Sensors,Chris Smith
2023-03-31,12934.2,6,Tools,Jordan Smith
2023-04-17,48053.57,15,Machines,Morgan Martinez
2020-08-28,32486.58,15,Tools,Morgan Davis
2021-12-20,42039.66,8,Machines,John Garcia
2023-07-08,20885.25,6,Software,Morgan Brown
2023-09-05,5921.59,5,Software,Alex Smith
2023-02-19,43401.95,6,Software,Alex Lee
2021-12-08,32319.94,9,Hardware,John Davis
2023-04-10,26436.72,14,Software,Taylor Johnson
2021-06-30,42459.23,12,Tools,Taylor Johnson
2021-01-26,48623.01,4,Machines,Morgan Martinez
2022-07-15,10223.52,14,Hardware,Drew Davis
2021-11-01,16565.16,9,Hardware,Chris Smith
2023-09-30,35301.85,12,Hardware,Jordan Smith
2023-07-22,38020.96,15,Sensors,John Martinez
2023-04-01,41126.07,10,Machines,Drew Smith
2022-12-01,16388.46,13,Sensors,Jane Martinez
2023-04-27,27164.94,13,Machines,Jane Martinez
2023-09-23,31305.2,6,Software,Jane Williams
2021-12-10,11281.12,5,Hardware,Jordan Lee
2020-04-15,2560.91,11,Hardware,Pat Lee
2024-03-13,45745.74,6,Software,Jordan Smith
2022-01-24,1849.1,11,Machines,John Garcia
2022-10-04,11254.95,7,Machines,Morgan Brown
2023-10-04,22277.18,11,Software,Jordan Smith
2023-04-04,39156.7,10,Software,John Williams
2020-09-20,3209.67,15,Tools,Jordan Lee
2023-08-05,28368.49,6,Machines,Morgan Smith
2021-11-28,43321.18,3,Hardware,John Garcia
2024-06-11,37992.8,7,Machines,Morgan Williams
2022-08-03,11140.66,1,Hardware,Pat Lee
2022-10-10,34796.43,11,Sensors,John Martinez
2024-11-17,26575.62,5,Sensors,Jane Garcia
2020-05-05,14664.78,4,Hardware,Chris Smith
2020-05-26,19037.61,7,Hardware,Chris Martinez
2023-02-15,42711.31,5,Sensors,Chris Smith
2022-11-14,17671.77,14,Machines,Pat Johnson
2023-11-13,31929.74,1,Machines,Chris Garcia
2022-02-23,12032.87,4,Tools,Jordan Lee
2021-07-04,31205.4,13,Tools,Drew Williams
2023-02-15,24184.85,15,Machines,Jane Smith
2021-07-11,36752.59,1,Software,Casey Rodriguez
2024-01-10,1893.35,14,Hardware,Drew Johnson
2022-11-04,43852.56,9,Tools,Morgan Lee
2020-04-06,12604.23,8,Machines,Casey Davis
2022-10-20,49507.24,3,Tools,Taylor Doe
2023-01-26,14339.39,5,Machines,Chris Smith
2022-06-07,15933.11,6,Machines,Drew Martinez
2024-03-14,17476.97,5,Machines,Pat Johnson
2023-07-05,35334.65,5,Sensors,Taylor Johnson
2022-02-20,33171.95,13,Machines,Jane Williams
2022-09-03,1622.85,1,Software,Taylor Rodriguez
2021-01-04,33351.7,15,Tools,Pat Lee
2023-02-05,15808.96,14,Machines,Alex Garcia
2022-12-08,27034.87,1,Tools,Jordan Johnson
2022-06-03,42769.86,2,Tools,Casey Rodriguez
2023-09-18,15985.79,10,Sensors,Morgan Johnson
2022-12-14,4735.7,14,Software,Morgan Martinez
2021-08-09,33991.88,3,Software,Taylor Doe
2023-06-01,23878.95,10,Hardware,Alex Rodriguez
2021-04-25,33350.65,12,Tools,Alex Johnson
2023-09-14,20766.72,2,Hardware,Jane Johnson
2021-10-13,2695.24,11,Tools,Jane Brown
2022-11-22,8268.3,9,Tools,Jane Brown
2022-05-06,11635.69,15,Tools,Casey Doe
2022-02-21,13345.03,14,Software,Pat Garcia
2023-06-02,34851.43,10,Sensors,Taylor Davis
2021-06-22,4482.97,7,Tools,Drew Doe
2022-08-20,41955.03,14,Sensors,Pat Doe
2022-11-10,12968.48,11,Software,John Lee
2022-07-16,22888.3,12,Machines,Jane Lee
2021-09-27,37936.92,13,Software,Chris Smith
2024-03-22,40409.96,3,Sensors,Jordan Doe
2022-05-07,8983.89,13,Machines,Morgan Doe
2022-08-19,8787.66,14,Sensors,Taylor Martinez
2021-04-28,28093.56,9,Hardware,Chris Smith
2023-06-11,49221.92,11,Software,Chris Davis
2023-01-29,1541.9,14,Machines,Taylor Lee
2021-10-04,45138.79,7,Hardware,Pat Martinez
2022-11-12,1129.02,9,Sensors,Jane Doe
2022-09-23,23508.53,6,Hardware,Alex Doe
2022-12-19,8818.3,7,Tools,Morgan Brown
2021-10-12,14004.89,9,Hardware,Jordan Johnson
2024-06-03,45685.36,12,Hardware,Drew Davis
2022-05-04,38586.27,11,Tools,Morgan Williams
2020-10-24,25565.53,8,Machines,Jane Williams
2023-05-31,48276.67,14,Software,Pat Smith
2023-05-24,21746.78,15,Hardware,John Doe
2023-10-13,20436.85,12,Hardware,Morgan Rodriguez
2022-11-21,44459.28,14,Sensors,Jane Brown
2023-07-12,47362.2,13,Hardware,Casey Brown
2022-10-27,36562.08,15,Software,Taylor Garcia
2022-08-23,6452.34,3,Hardware,John Johnson
2023-08-15,40222.69,6,Sensors,Jordan Lee
2022-11-07,43569.23,10,Hardware,Drew Williams
2022-06-14,8305.13,6,Sensors,Alex Williams
2022-12-09,44417.96,2,Software,Jane Davis
2023-02-20,47369.02,3,Sensors,Chris Rodriguez
2023-07-19,27711.55,3,Sensors,John Williams
2022-02-07,14188.43,3,Hardware,Jordan Williams
2023-03-20,1792.0,8,Tools,Morgan Doe
2022-11-12,33572.67,5,Sensors,Alex Smith
2022-01-16,31745.42,15,Machines,Casey Smith
2022-05-17,38753.75,3,Tools,Jordan Martinez
2023-10-16,20765.55,6,Machines,Jordan Davis
2021-01-23,10676.66,4,Machines,Alex Rodriguez
2021-08-04,33828.27,15,Machines,Pat Johnson
2022-05-07,39314.38,10,Tools,Morgan Davis
2020-12-16,5494.05,7,Tools,Pat Brown
2022-07-09,12259.54,6,Tools,Chris Brown
2020-12-13,45614.7,12,Machines,Alex Johnson
2021-10-12,4480.57,2,Machines,Alex Rodriguez
2023-06-28,32769.16,10,Hardware,Chris Johnson
2021-12-02,1585.97,11,Tools,Pat Johnson
2022-10-21,24757.17,4,Machines,Morgan Davis
2024-03-14,33160.66,2,Tools,John Smith
2021-10-21,49478.69,2,Machines,Jane Martinez
2022-03-16,2162.3,5,Hardware,Pat Johnson
2024-02-03,23867.83,14,Software,Morgan Smith
2020-12-15,47336.96,12,Machines,Chris Smith
2022-12-15,45438.82,6,Hardware,John Davis
2021-06-05,18988.6,12,Machines,Pat Doe
2022-02-19,23573.91,4,Tools,Casey Williams
2023-07-19,33638.08,14,Sensors,Jordan Martinez
2022-05-06,30736.73,12,Software,Chris Williams
2024-01-24,12418.33,10,Hardware,Pat Brown
2022-05-08,7729.67,15,Tools,Morgan Lee
2022-05-31,42658.36,6,Software,Taylor Williams
2023-12-13,41023.35,15,Software,Alex Doe
2020-12-25,14571.39,11,Machines,John Williams
2021-11-24,27396.69,6,Machines,Alex Brown
2022-10-12,22595.48,13,Hardware,Casey Doe
2020-04-17,27925.69,12,Tools,Casey Williams
2021-12-01,25239.22,5,Tools,Alex Brown
2020-11-20,48257.46,5,Hardware,Pat Smith
2023-03-13,6961.43,8,Software,Jane Martinez
2024-03-06,47424.39,12,Hardware,Morgan Lee
2022-11-04,16670.78,10,Machines,Jane Williams
2020-09-25,22523.42,12,Tools,Jordan Smith
2020-06-30,45007.77,12,Software,Jane Martinez
2020-09-28,28439.04,9,Hardware,John Brown
2023-10-07,49447.75,14,Hardware,Chris Martinez
2022-02-11,4369.61,5,Software,Chris Doe
2021-05-13,37277.92,12,Tools,Casey Doe
2021-01-26,45847.57,5,Hardware,Alex Doe
2022-01-04,24661.64,5,Hardware,John Garcia
2022-04-16,34476.59,1,Tools,Jane Williams
2023-10-05,47220.95,5,Software,Pat Rodriguez
2022-02-21,12232.49,7,Hardware,Chris Rodriguez
2022-06-03,28995.96,6,Sensors,Jordan Smith
2020-06-08,21740.21,12,Software,Jane Lee
2022-08-11,29475.14,8,Sensors,Jordan Doe
2023-05-31,14401.43,1,Machines,Jane Brown
2022-04-23,45654.19,12,Software,Drew Doe
2022-09-21,5277.97,6,Hardware,Morgan Martinez
2024-04-25,46129.41,10,Hardware,Taylor Rodriguez
2020-11-23,19682.53,2,Machines,Alex Rodriguez
2022-08-23,11369.72,5,Tools,Casey Williams
2024-06-21,38319.64,1,Machines,Jordan Rodriguez
2024-12-16,28377.1,12,Hardware,Jane Johnson
2022-02-11,34048.51,3,Hardware,Alex Davis
2024-02-01,14354.52,2,Tools,Alex Johnson
2022-07-01,10204.06,8,Sensors,John Johnson
2024-09-04,18169.04,7,Machines,Chris Brown
2022-04-02,36516.0,14,Sensors,Morgan Williams
2022-09-13,47693.6,14,Sensors,Taylor Rodriguez
2021-12-08,47066.36,9,Software,Morgan Brown
2023-09-17,16324.47,15,Software,John Lee
2021-06-13,22024.25,3,Hardware,Jordan Lee
2021-11-27,4003.45,9,Machines,Alex Doe
2023-04-14,10921.48,2,Sensors,Chris Lee
2022-09-12,23367.56,4,Tools,Morgan Davis
2020-10-14,5831.61,11,Machines,Taylor Garcia
2022-01-27,31637.15,5,Hardware,Jordan Davis
2021-07-15,12885.16,11,Hardware,Alex Rodriguez
2024-01-29,16184.34,5,Sensors,John Williams
2023-08-18,38914.42,2,Software,Chris Lee
2022-01-18,21202.33,6,Hardware,Jane Doe
2021-02-15,45419.52,1,Sensors,Jane Doe
2022-04-28,31751.3,4,Software,Chris Martinez
2022-07-20,32405.58,4,Sensors,Jane Martinez
2022-03-04,46878.17,10,Machines,John Davis
2022-04-23,37483.1,15,Tools,Alex Williams
2023-09-10,35742.88,7,Sensors,Morgan Garcia
2020-05-12,48584.65,7,Hardware,Casey Davis
2021-04-09,23209.76,8,Machines,Taylor Garcia
2023-08-11,42252.68,5,Tools,John Brown
2021-12-09,16258.01,8,Tools,Drew Williams
2024-11-06,48312.2,5,Sensors,Pat Davis
2022-05-23,28982.04,6,Sensors,John Rodriguez
2022-06-23,21951.89,8,Tools,Pat Smith
2023-08-09,45862.48,8,Tools,Jane Rodriguez
2022-03-11,26180.1,15,Machines,Morgan Doe
2022-09-19,2625.2,5,Software,Alex Smith
2022-03-19,11500.01,9,Software,John Lee
2021-06-09,10489.63,9,Sensors,Drew Lee
2021-12-10,16103.12,11,Tools,Drew Doe
2023-09-10,10436.23,6,Sensors,Morgan Smith
2020-06-07,42191.78,3,Software,Jane Garcia
2021-10-21,19882.88,14,Sensors,Pat Williams
2023-03-14,40385.87,3,Hardware,Jane Davis
2022-06-26,33915.87,2,Tools,Pat Martinez
2023-10-17,38310.62,6,Machines,Jane Doe
2023-04-29,33000.76,2,Hardware,Casey Doe
2023-07-30,20827.35,13,Sensors,Alex Williams
2021-12-05,22891.16,8,Tools,Jane Brown
2022-03-04,45563.71,13,Machines,Taylor Davis
2023-01-03,32460.54,15,Sensors,Pat Lee
2022-04-15,15205.09,11,Sensors,Jane Johnson
2023-07-07,18648.84,14,Software,Jordan Martinez
2023-02-24,29795.71,2,Software,Pat Smith
2024-03-18,27369.25,5,Machines,Pat Lee
2022-04-29,49124.17,14,Machines,Jane Doe
2021-10-10,15721.94,6,Machines,Pat Smith
2022-03-16,31976.59,9,Machines,Pat Smith
2022-08-21,42153.52,8,Tools,John Rodriguez
2022-11-06,30581.79,7,Sensors,Pat Lee
2022-12-16,32798.64,4,Sensors,Taylor Smith
2022-06-13,1180.33,1,Sensors,Pat Johnson
2022-02-11,44790.69,5,Tools,Chris Smith
2023-10-08,21971.98,1,Hardware,Drew Martinez
2022-10-07,42804.32,15,Sensors,Alex Lee
2022-03-19,31143.79,9,Sensors,Jane Williams
2022-08-29,36361.43,8,Sensors,Drew Garcia
2023-12-19,40058.97,5,Sensors,Chris Doe
2024-01-11,41470.96,4,Sensors,Jordan Martinez
2023-01-24,9164.81,13,Hardware,Casey Smith
2021-09-06,14992.76,10,Machines,Jordan Rodriguez
2020-06-13,25733.34,9,Software,Casey Doe
2021-09-29,30059.46,9,Tools,Pat Johnson
2023-03-08,37544.87,8,Tools,Jane Williams
2022-08-15,33243.21,1,Software,Chris Johnson
2020-02-19,15558.53,11,Hardware,Drew Johnson
2022-03-23,35490.86,9,Sensors,Casey Brown
2022-04-13,22150.39,14,Machines,Pat Martinez
2022-10-08,37438.59,1,Machines,Morgan Davis
2022-10-28,32241.91,13,Software,John Johnson
2023-12-28,46125.1,5,Sensors,Chris Lee
2022-03-21,38296.27,3,Software,John Garcia
2023-05-14,18050.92,10,Sensors,John Johnson
2024-05-25,26979.11,15,Software,Jane Lee
2020-11-14,44599.93,11,Hardware,Pat Lee
2023-04-14,38287.42,3,Hardware,Drew Doe
2024-01-17,28268.69,7,Machines,Jordan Davis
2024-03-10,1295.47,10,Tools,Pat Lee
2023-02-14,38945.99,6,Machines,Pat Davis
2024-09-03,15595.04,7,Machines,Jane Garcia
2023-05-26,9068.7,13,Sensors,Pat Williams
2024-02-20,36598.45,5,Sensors,Pat Smith
2022-02-09,18708.1,3,Machines,Casey Doe
2022-06-18,48246.9,2,Software,Drew Brown
2023-07-14,18238.18,13,Hardware,Jane Rodriguez
2021-12-27,3195.06,5,Hardware,Casey Doe
2023-05-06,23996.62,13,Hardware,Pat Rodriguez
2022-02-08,24604.28,4,Hardware,Alex Martinez
2022-08-20,45469.82,13,Tools,Morgan Garcia
2023-09-18,22077.17,10,Sensors,Pat Garcia
2023-03-26,10741.73,10,Sensors,Drew Williams
2021-01-18,10350.33,3,Software,Jordan Lee
2023-06-01,10630.24,2,Hardware,Jane Doe
2022-06-05,41514.94,1,Sensors,Casey Williams
2021-03-22,29166.47,4,Machines,Taylor Johnson
2023-07-28,26654.68,13,Sensors,John Johnson
2022-09-27,1030.4,7,Machines,Chris Lee
2022-12-21,11673.17,7,Machines,Taylor Johnson
2022-06-21,32124.4,11,Sensors,Pat Smith
2022-06-24,21507.86,10,Hardware,Pat Garcia
2021-07-07,34314.25,9,Hardware,Pat Williams
2021-07-16,33917.9,10,Machines,Chris Williams
2022-03-25,20777.0,14,Software,John Garcia
2022-09-13,43434.7,14,Sensors,Casey Davis
2021-06-23,13553.09,9,Sensors,Morgan Smith
2022-02-01,29461.67,15,Machines,Drew Davis
2021-08-01,6022.06,3,Machines,Morgan Garcia
2022-11-15,25872.93,5,Sensors,Morgan Davis
2022-03-09,43953.42,14,Tools,Morgan Rodriguez
2023-01-24,28995.76,4,Machines,Taylor Davis
2023-10-12,44486.17,10,Software,Jane Smith
2024-06-20,41073.17,15,Hardware,Pat Brown
2022-09-01,34361.2,1,Software,Chris Martinez
2020-12-29,39982.07,13,Tools,Morgan Smith
2022-01-23,48886.58,1,Software,Pat Lee
2021-12-13,2361.8,6,Machines,Taylor Smith
2021-02-14,20230.52,5,Hardware,Pat Smith
2021-07-20,23876.23,11,Hardware,Taylor Davis
2022-10-19,7982.18,15,Sensors,Morgan Rodriguez
2022-07-04,23292.97,5,Software,Casey Martinez
2020-04-11,11896.76,9,Hardware,John Williams
2022-02-28,15189.42,2,Hardware,Jane Doe
2022-11-15,5874.13,13,Sensors,Morgan Doe
2020-03-02,12191.13,5,Hardware,Chris Smith
2023-10-31,37727.12,1,Hardware,Drew Davis
2022-02-10,25963.45,14,Software,Pat Martinez
2022-02-03,40665.42,15,Machines,Taylor Johnson
2024-08-29,41964.64,5,Machines,Jordan Williams
2021-05-22,44796.04,3,Tools,Casey Smith
2020-07-09,44395.22,15,Tools,Drew Rodriguez
2023-06-25,41015.55,14,Sensors,John Lee
2021-11-09,18654.21,5,Tools,Chris Davis
2023-03-18,12931.82,8,Software,Drew Williams
2023-08-21,46822.47,2,Tools,Pat Brown
2022-11-24,15136.3,14,Software,Morgan Smith
2021-06-07,16822.12,11,Machines,Taylor Smith
2022-01-02,40598.8,6,Machines,Casey Davis
2021-06-13,21118.95,9,Machines,John Davis
2024-03-19,12046.68,14,Machines,Alex Martinez
2021-06-02,8750.97,12,Machines,Chris Davis
2022-01-26,38006.32,9,Software,Morgan Brown
2022-04-07,25654.68,4,Tools,Jordan Lee
2023-07-14,42364.12,6,Sensors,Casey Brown
2022-09-20,46082.67,15,Machines,Casey Johnson
2021-03-30,11353.34,12,Machines,Chris Johnson
2023-07-11,36371.64,7,Machines,Morgan Smith
2023-05-14,30828.62,1,Software,Taylor Garcia
2023-02-21,13701.86,5,Machines,Jane Lee
2021-08-16,1431.61,13,Tools,Taylor Williams
2022-05-15,23224.15,8,Tools,Drew Lee
2023-01-18,30639.31,6,Software,John Smith
2022-04-17,32707.11,15,Sensors,Pat Davis
2022-09-28,38560.77,13,Machines,Pat Davis
2021-06-28,1447.71,15,Sensors,Pat Davis
2022-11-20,46183.0,7,Tools,Alex Johnson
2021-03-10,5778.55,1,Sensors,Jane Johnson
2021-11-21,48855.64,9,Hardware,Drew Williams
2023-05-10,6171.3,4,Sensors,Jane Smith
2024-08-21,33410.63,5,Sensors,Jane Lee
2023-10-04,39891.21,15,Software,Jordan Brown
2023-04-15,41488.5,1,Hardware,Alex Garcia
2021-12-09,48409.28,8,Tools,Chris Williams
2022-04-17,32528.43,15,Sensors,Jordan Williams
2022-04-13,40473.5,2,Hardware,Morgan Williams
2022-06-18,24165.56,4,Software,Pat Garcia
2021-05-03,30323.52,8,Sensors,John Martinez
2022-03-08,18980.14,3,Software,John Rodriguez
2021-08-13,30718.04,13,Tools,Alex Lee
2021-12-29,15566.32,15,Machines,Chris Garcia
2023-03-16,28544.31,6,Software,Jordan Smith
2023-03-02,42210.79,3,Sensors,Drew Lee
2022-02-26,26847.97,9,Sensors,Chris Lee
2021-02-16,43047.76,1,Sensors,Drew Garcia
2020-03-09,27632.66,12,Tools,Morgan Williams
2022-07-22,18135.54,9,Machines,Chris Williams
2023-05-14,29726.97,14,Software,John Garcia
2023-01-19,42604.52,6,Sensors,Casey Garcia
2021-09-28,11055.42,15,Sensors,Alex Martinez
2022-03-06,32472.55,1,Software,Taylor Doe
2022-12-22,30708.74,6,Hardware,Jane Brown
2022-08-19,17784.81,14,Sensors,Alex Doe
2021-03-23,9430.71,15,Tools,Chris Davis
2024-03-20,41719.51,7,Software,Morgan Rodriguez
2022-10-26,47519.07,4,Software,Casey Brown
2023-05-29,41737.78,14,Hardware,Pat Williams
2022-02-12,27840.02,15,Machines,John Rodriguez
2021-12-14,27288.88,8,Tools,Jordan Martinez
2021-11-28,32910.11,5,Software,John Williams
2020-11-23,27614.8,8,Machines,Chris Smith
2023-03-25,18365.28,15,Software,Taylor Williams
2022-06-14,39259.54,6,Software,John Garcia
2021-11-03,8526.25,14,Sensors,Chris Lee
2021-01-29,39219.25,1,Tools,Jane Doe
2024-10-06,34751.8,5,Sensors,Casey Brown
2023-05-13,20609.01,10,Machines,Morgan Davis
2020-12-08,28418.31,4,Hardware,Taylor Martinez
2023-04-27,13464.33,6,Tools,Pat Martinez
2022-10-16,9893.8,10,Sensors,Morgan Williams
2021-05-05,46720.71,1,Sensors,John Doe
2023-07-08,37019.26,12,Sensors,Jane Lee
2023-08-25,24083.98,6,Sensors,Pat Rodriguez
2023-09-15,31232.43,2,Tools,Drew Lee
2021-10-03,21204.28,13,Software,Jordan Williams
2021-06-30,26044.29,13,Tools,Pat Lee
2020-05-03,31675.17,9,Hardware,John Johnson
2023-05-04,28387.97,15,Machines,Jordan Brown
2022-10-07,7429.64,7,Machines,Drew Smith
2024-05-01,26497.21,3,Sensors,Casey Garcia
2021-09-02,31747.51,3,Hardware,Jane Smith
2022-10-24,1588.8,1,Machines,Jordan Brown
2022-09-07,26381.22,13,Machines,Jordan Rodriguez
2022-02-09,5722.8,10,Sensors,Drew Brown
2024-05-06,33218.78,10,Tools,Morgan Davis
2023-12-26,31788.59,14,Software,Jordan Doe
2021-06-17,40401.92,15,Sensors,Jordan Williams
2021-03-15,33248.78,7,Tools,John Smith
2023-03-15,34384.93,5,Tools,Taylor Rodriguez
2021-12-27,31797.98,6,Tools,Taylor Rodriguez
2023-04-23,28161.3,10,Machines,Alex Doe
2021-02-11,9671.25,11,Sensors,Casey Smith
2023-06-11,17755.19,1,Hardware,Jordan Williams
2022-04-17,14372.7,11,Tools,John Doe
2022-01-19,28092.15,8,Sensors,Morgan Brown
2020-12-16,27279.39,9,Machines,Casey Doe
2022-07-08,4823.68,15,Machines,Morgan Doe
2021-12-02,4720.75,5,Hardware,Taylor Johnson
2023-08-18,14919.26,13,Sensors,Pat Martinez
2024-05-08,29305.64,7,Sensors,Taylor Doe
2023-06-20,18651.35,13,Software,Jane Davis
2022-11-26,43195.38,12,Sensors,Pat Rodriguez
2022-09-07,13639.53,1,Machines,Jane Garcia
2021-09-06,7202.9,9,Sensors,Taylor Brown
2024-04-13,24675.88,2,Tools,Chris Williams
2022-02-03,8384.29,9,Tools,John Brown
2020-12-24,24317.17,9,Software,Drew Davis
2021-09-22,25214.62,7,Hardware,Morgan Rodriguez
2021-08-21,32587.14,15,Sensors,Morgan Lee
2024-08-03,1386.97,1,Machines,Pat Garcia
2024-02-22,24191.94,12,Sensors,Alex Garcia
2020-09-27,4983.92,11,Hardware,Alex Brown
2023-02-13,43708.22,6,Software,Jane Brown
2021-06-30,31443.12,15,Machines,Chris Martinez
2023-02-13,10199.01,5,Tools,Pat Garcia
2023-07-17,28926.54,8,Tools,Morgan Doe
